word,count
positive,1
Russia,1
prevent,1
oversee,1
CONCACAF,1
International,1
(lit. 'International,1
among,2
"Qatar,",1
World,5
suspended,1
Madrid,1
Cups.,1
play.[5],1
organizational,1
Federation,1
FIFA's,1
11,1
"(Oceania),",1
set,1
re-elections[13],1
revenue,1
who,2
confederations:,1
objectives,1
not,2
revenues,1
On,2
by,6
comprises,1
must,1
Association,3
indictments,1
outlines,1
growing,1
allegations,1
more,1
Headquartered,1
In,1
chairmen,1
generate,1
award,1
Swiss,1
"Eckert,",1
Women's,1
launched,1
there,1
"game,",1
"internationally,",1
FIFA,15
was,1
high-ranking,1
face,1
for,2
officials,4
how,1
body,1
self-regulatory,1
money,1
"Australia),",1
"1930,",1
vote-rigging,1
one,1
leadership,1
in,8
renew,1
Department,1
"authorities,",1
Qatar,1
major,1
corporate,1
acronym,1
"(Europe),",1
with,3
Blatter[11],1
sponsorships;,1
beach,1
had,1
Hans-Joachim,1
"chairmen,",1
OFC,1
be,2
"Zürich,",1
AFC,1
2018,2
27,1
"France,",1
1904[3],1
America).[4],1
six,1
these,2
billion.[7],1
responsibility,1
cash,1
both,1
wire,1
"2017,",2
suspected,1
Switzerland.,1
arrested,1
May,3
"FEE-fə),",1
associations,2
ensuring,1
applies,1
Although,1
Together,1
during,1
promoting,1
cycle,1
Infantino,1
laws,1
charges,2
de,1
is,4
accessible,1
on,1
but,1
"soccer,",1
Spain,1
associations.,1
Cup,2
All,1
These,2
into,1
following,1
US,2
investigative,1
journalists,1
it,2
criminal,1
reports,1
Infantino's,1
its,3
Michel,1
now,1
does,1
competitions.[6],1
$1.2,1
2022,3
public,1
association,1
CAF,1
1991.,1
have,1
"2015,",1
respectively.,1
It,2
"committee,",1
corruption,1
football,1
became,1
"Belgium,",1
ending,1
Sepp,2
the,28
national,3
across,1
Reports,1
notably,1
regarding,1
"Denmark,",1
competition,1
regional,1
Central,1
net,1
simultaneous,1
separate,1
Borbély,2
"billion,",2
from,1
"Germany,",1
"racketeering,",1
"bribery,",1
well.[8][9][10],1
"football,",1
"Switzerland,",1
led,1
nine,1
Eckert.[16],1
Gianni,1
congress,1
(North,1
(South,1
ethics,2
"tournaments,",1
election,1
and,21
committee,2
known,1
decided,1
attempting,1
been,1
"Sweden,",1
Blatter,1
are,1
"Football'),",1
2019–2022,1
9,1
US$5.8,1
of,20
(represented,1
members,2
"Caribbean),",1
"(Africa),",1
began,1
president,2
Fédération,1
several,2
advocating,1
football's,1
The,1
Internationale,1
Justice,1
Platini.[12],1
over,2
211,1
including,3
Cornel,1
"fraud,",1
commonly,1
CONMEBOL,1
enforces,1
"statutes,",1
awarded,1
mandates,1
extradited,1
governing,1
that,1
"corruption,",1
&,1
were,4
organizing,1
tournaments,1
organization,1
America,1
Council,1
all,1
"2022,",1
Board,1
a,3
"",4
"everyone,",1
as,1
early,1
investigation,1
indicted,1
being,1
five,1
Those,1
13,1
about,1
(Asia,1
(/ˈfiːfə/,1
integrity,1
"member,",1
rules,1
has,1
linked,1
"Netherlands,",1
fair,1
executives,1
"Club),",1
"proposal,[16]",1
Football,3
founded,1
to,10
solely,1
Cups,1
removed.,1
responsible,1
membership,1
laundering.,1
international,3
also,2
expected,1
$3.9,1
organization's,1
decision,1
2017.[14][15],1
futsal.,1
Cup.[17],1
UEFA,1
Many,1
which,3
commenced,1
reserves,1
related,1
